date,Barranquilla,Bogotá D.C.,Cali,Cartagena,Medellín
2020-02-27,0.0,1.0,0.0,0.0,0.0
2020-02-28,0.0,1.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0,1.0
2020-03-01,0.0,3.0,0.0,1.0,0.0
2020-03-02,0.0,0.0,1.0,2.0,1.0
2020-03-04,0.0,1.0,0.0,0.0,0.0
2020-03-05,0.0,5.0,1.0,0.0,1.0
2020-03-06,2.0,6.0,0.0,3.0,1.0
2020-03-07,0.0,10.0,1.0,0.0,0.0
2020-03-08,0.0,5.0,0.0,0.0,2.0
2020-03-09,2.0,5.0,4.0,0.0,2.0
2020-03-10,2.0,11.0,4.0,0.0,7.0
2020-03-11,0.0,15.0,2.0,2.0,2.0
2020-03-12,2.0,19.0,9.0,1.0,1.0
2020-03-13,2.0,26.0,6.0,4.0,7.0
2020-03-14,5.0,34.0,10.0,4.0,12.0
2020-03-15,2.0,54.0,16.0,5.0,4.0
2020-03-16,5.0,62.0,16.0,8.0,12.0
2020-03-17,5.0,59.0,14.0,4.0,7.0
2020-03-18,5.0,53.0,19.0,6.0,13.0
2020-03-19,2.0,86.0,20.0,5.0,9.0
2020-03-20,6.0,84.0,35.0,10.0,10.0
2020-03-21,4.0,79.0,19.0,5.0,1.0
2020-03-22,10.0,55.0,14.0,7.0,10.0
2020-03-23,1.0,62.0,26.0,3.0,6.0
2020-03-24,5.0,48.0,25.0,5.0,7.0
2020-03-25,4.0,69.0,27.0,5.0,5.0
2020-03-26,3.0,68.0,22.0,5.0,8.0
2020-03-27,1.0,77.0,16.0,4.0,6.0
2020-03-28,1.0,70.0,19.0,5.0,5.0
2020-03-29,4.0,61.0,10.0,8.0,1.0
2020-03-30,2.0,61.0,23.0,4.0,4.0
2020-03-31,0.0,46.0,16.0,3.0,1.0
2020-04-01,4.0,87.0,23.0,9.0,6.0
2020-04-02,4.0,59.0,20.0,3.0,7.0
2020-04-03,4.0,56.0,17.0,5.0,5.0
2020-04-04,8.0,71.0,14.0,4.0,3.0
2020-04-05,2.0,67.0,18.0,10.0,3.0
2020-04-06,2.0,91.0,20.0,7.0,6.0
2020-04-07,6.0,57.0,17.0,4.0,4.0
2020-04-08,0.0,71.0,14.0,9.0,7.0
2020-04-09,3.0,62.0,27.0,4.0,3.0
2020-04-10,6.0,102.0,12.0,12.0,13.0
2020-04-11,8.0,66.0,17.0,3.0,5.0
2020-04-12,4.0,70.0,18.0,10.0,5.0
2020-04-13,5.0,60.0,34.0,15.0,3.0
2020-04-14,4.0,70.0,22.0,13.0,10.0
2020-04-15,9.0,84.0,27.0,13.0,7.0
2020-04-16,8.0,72.0,11.0,14.0,4.0
2020-04-17,6.0,74.0,14.0,15.0,2.0
2020-04-18,12.0,92.0,28.0,12.0,4.0
2020-04-19,6.0,76.0,23.0,17.0,5.0
2020-04-20,23.0,110.0,43.0,19.0,7.0
2020-04-21,15.0,77.0,25.0,16.0,7.0
2020-04-22,14.0,75.0,31.0,18.0,3.0
2020-04-23,16.0,96.0,23.0,20.0,4.0
2020-04-24,17.0,86.0,27.0,18.0,4.0
2020-04-25,21.0,98.0,26.0,20.0,5.0
2020-04-26,22.0,123.0,33.0,45.0,1.0
2020-04-27,27.0,104.0,33.0,30.0,2.0
2020-04-28,45.0,146.0,33.0,40.0,5.0
2020-04-29,50.0,110.0,28.0,33.0,2.0
2020-04-30,59.0,113.0,31.0,50.0,0.0
2020-05-01,60.0,208.0,69.0,78.0,7.0
2020-05-02,67.0,152.0,52.0,70.0,2.0
2020-05-03,63.0,149.0,36.0,63.0,3.0
2020-05-04,84.0,150.0,57.0,71.0,2.0
2020-05-05,101.0,197.0,54.0,88.0,3.0
2020-05-06,79.0,229.0,49.0,84.0,2.0
2020-05-07,104.0,165.0,54.0,90.0,10.0
2020-05-08,91.0,216.0,65.0,69.0,3.0
2020-05-09,99.0,219.0,86.0,91.0,7.0
2020-05-10,106.0,328.0,80.0,116.0,11.0
2020-05-11,89.0,272.0,68.0,96.0,14.0
2020-05-12,88.0,255.0,71.0,140.0,14.0
2020-05-13,94.0,258.0,94.0,100.0,10.0
2020-05-14,83.0,248.0,95.0,142.0,8.0
2020-05-15,105.0,264.0,96.0,200.0,14.0
2020-05-16,120.0,270.0,86.0,174.0,7.0
2020-05-17,172.0,277.0,70.0,200.0,11.0
2020-05-18,152.0,368.0,122.0,222.0,13.0
2020-05-19,143.0,384.0,92.0,198.0,13.0
2020-05-20,191.0,424.0,132.0,242.0,15.0
2020-05-21,173.0,288.0,91.0,281.0,8.0
2020-05-22,150.0,363.0,103.0,153.0,20.0
2020-05-23,149.0,356.0,98.0,139.0,12.0
2020-05-24,156.0,311.0,73.0,76.0,13.0
2020-05-25,198.0,403.0,106.0,107.0,15.0
2020-05-26,212.0,305.0,106.0,191.0,10.0
2020-05-27,208.0,351.0,109.0,136.0,13.0
2020-05-28,245.0,342.0,137.0,127.0,20.0
2020-05-29,248.0,337.0,118.0,133.0,17.0
2020-05-30,304.0,323.0,120.0,100.0,17.0
2020-05-31,269.0,325.0,99.0,79.0,19.0
2020-06-01,501.0,571.0,243.0,169.0,44.0
2020-06-02,332.0,467.0,128.0,136.0,29.0
2020-06-03,386.0,406.0,128.0,252.0,65.0
2020-06-04,348.0,406.0,109.0,137.0,43.0
2020-06-05,570.0,494.0,239.0,164.0,30.0
2020-06-06,503.0,491.0,172.0,187.0,36.0
2020-06-07,414.0,375.0,125.0,154.0,31.0
2020-06-08,571.0,509.0,216.0,235.0,42.0
2020-06-09,572.0,482.0,200.0,243.0,41.0
2020-06-10,664.0,660.0,221.0,240.0,51.0
2020-06-11,525.0,547.0,235.0,170.0,42.0
2020-06-12,646.0,511.0,201.0,238.0,52.0
2020-06-13,583.0,515.0,162.0,185.0,53.0
